,Title,Plot,Genre
28500,Aadu,"The film opens in Bangkok with an ungainly gangster named Dude (Vinayakan) being roped in by his boss to fetch an exotic herb known as Neelakoduveli, which is believed to bring eternal fortune to its bearer. Somewhere in Kerala, Shaji Pappan (Jayasurya) is the captain of a tug-of-war team hailing from the High Range in Idukki. The team are known officially as 'Winners Pothumukku'. All the members are illiterate young men who are slackers, by drinking alcohol and outing. They manage to win the tournament and along with the cash prize and the trophy, they also receive a female goat. Lolan (Harikrishnan), one of the team members, names the goat 'Pinky'. Shaji has a tough past with females, which is revealed to be a result of his wife Mary (Srinda Arhaan) eloping with his unfaithful driver Ponnapachan (Aju Varghese). He allows the female goat inside his van reluctantly, as he doesn't allow females in his van usually, after Arakkal Abu (Saiju Kurup) assures he will slaughter it and have it as a barbecue.
The decision lands them into a slew of hilarious problems, as the team crashes into a tree, with a coconut falling on the head of Captain Cleetus, leaving him with cognitive slippage. As the team expects Arakkal Abu to do the slaughter, his cowardice is revealed. This situational inconvenience makes Shaji Paappan mad, who determines to eliminate or eat the goat at any cost.
After a few failed attempts, they accidentally run into inspector Shameer (Vijay Babu). He is also known as Sarbath Shameer, for his habit of ramming the culprits' forehead on a lemon placed on a table, and drinking its juice. As Shameer interrogates the team on grounds of drunken driving, Menaka Kanthan (Sandra Thomas), an animal welfare activist accuses the group for abusing and presses charges. However, the team are allowed to go.
In the meantime, Dude and his boys arrive in Kerala in search of Neelakkoduveli which is now in possession of Satan Xavier (Sunny Wayne), a high-profile drug dealer in the high range. Kanjavu Soman makes a deal with Dude to retrieve the herb from Xavier. En route, Soman was robbed of the chest containing Neelakkoduveli, by masked assailants wearing caps. He reports the mishap to Dude. Shaji Paappan and the team runs into the Dude' henchman they knock out Shaji and capture Abu along with Pinky as hostages. Because Dude believes Abu to be the thief, as he was wearing his traditional cap, similar to Soman's assailants.
Somewhere else, a veteran left wing leader named P.P Sasi (Indrans) gets into legal trouble as he foolishly discloses the politically driven murder hits to the public. When the police comes to arrest him, Sasi escapes from them. As Shaji Pappan is worried about Abu, a ransom video sent to the team by Dude's boys, betrays the location of their hideout. Shaji and friends rush to the place and rescues Abu and Pinky. However, they run into Shameer and in crossways with Dude, who madly opens fire. In the end, Abu and Pinky are captured once again.
With a new lead in hand, Shameer apprehends Soman and Hakkim, the right-hand men of P.P Sasi Aassaan, to counter his armed adversaries. Shaji Paappan unwillingly decides to seek help from his elder brother Thomas Paappan (Renji Panicker) whom Shaji hates. As an iron-smith Thomas Paappan arms the group with rifles to confront Dude and his thugs. The century old rifles turns out to be useless. But they defeat Dude and save Abu and Pinky.
Refusing to give up, Dude pulls out his gun and points at Shaji. Thomas arrives and manages to shoot the gun away. Thomas appears to be a poor marksman and runs away on seeing the police beside the gang. Sasi, who was hiding in an empty water tank, is exposed out of his hiding. Shameer apprehends the Dude and Sasi's groups, leaving Shaji and friends on their own.
Shameer is being praised by his superior officer, on recovering the Neelakkoduveli. However when the trunk is uncovering there was only cowdung. Satan Xavier ran out of luck due to the transfer of Neelakkoduveli, resulting in his weed forest being burned down by police. Shameer gets suspended due to his negligence, which then results in getting himself beaten up by the vengeful public.
Without being able to retrieve the herb, Dude decides to finish off Soman. In a flashback, facts oblivious to everybody else in the film universe is shown. Soman, didn't have the intention to hand over the Neelakkoduveli to Dude and switched the herb chest with a decoy trunk filled with dung. As he was getting away with the valuable chest, he runs into an elephant pit, accidentally throwing the chest outside. When Soman came back to his senses, he discovers that Pinky had eaten away the Neelakkoduveli from the popped open chest. The power of the exotic herb might have rendered Pinky auspicious, which might be the reason why the ewe lamb didn't get harmed.
Pappan finally manages to sell off Pinky to a butcher. On the sight of his friends' evoked grievances while the goat was being dragged away he feels a stroke of sympathy. As he calls the goat, he meets a girl with the same name (Swathi Reddy). His friends are delighted to see Pinky safe and the filmmovie leaves us clueless about the sequel",romantic comedy
28578,Kammatipaadam,"Krishnan, who works in a security firm in Mumbai, receives a call from his childhood friend Ganga. The call indicates that Ganga is in danger and need Krishnan's help. Later, Krishnan travels to Kerala to find Ganga. During his journey Krishnan recalls all the problems that he had to face in his hometown Kammatti Padam.
In the early 1980s, Krishnan who is a primary school student befriends Gangadharan/Ganga, a kid who belongs to a Dalit family. Ganga's brother Balan/Balettan is a thug and is involved in smuggling spirit. Both Krishnan and Ganga are introduced to violence at a very young age. Krishnan is in love with Anitha, a relative of Ganga.
Later, Krishnan, Ganga, Balettan, Venu and others form a gang working for a local businessman, Ashaan. After the gang is involved in a fight, Krishnan kills a police officer while trying to save Ganga. He then goes to jail and returns to Kammatti Padam only to discover that the gang is now more advanced and are smuggling spirit under the leadership of Surendran/Ashaan. The gang creates a lot of enemies which includes Johnny. Krishnan discovers that Ganga is also in love with Anitha and is planning to get married soon.The gang destroying the homes of the locals leaves Ganga's grandfather devastated. He dies of shock when he discovers that his grandchildren have no love for him.
Balettan who is now a changed man after his grandfather's death wants to stop everything. One night Balan's wife demands to go to medical shop to get some supplies.They are accompanied by both Ganga and Krishnan. Balettan says that he wants to stop his criminal activity and simply wants to live happily with his family in Kammatti Padam by starting a travel agency.During their conversation about Anitha, Balan mentions his wish to see Krishnan get married to her and this causes Ganga and Balan to end up in a fight. Ganga gets out of the car. Later, Balan, Krishnan and Balan's wife Rosamma reach the nearby medical shop. Rosamma and Krishnan get out of the car and walk towards the medical shop. Balettan, too intoxicated stays in the car which moments later gets hit by a truck, explodes and leaves Balettan dead. Ganga blames Krishnan for his brother's death and both their friendship is torn apart.
Later, Krishnan starts a travel agency and Ganga still remains a thug.The gang later learns from a friend Sumesh that Johnny was the one who planned Balan's murder.An enraged Krishnan and Ganga stab Johnny landing them in trouble, chased by the police. Krishnan gets arrested saving Ganga. Meanwhile, Ganga marries Anitha and then Krishnan relocates to Mumbai.
In the present, Krishnan learns about the mishaps created by Ganga and tries to find him with the help of Rosamma. Rosamma reveals that it could be Johnny who is behind Ganga's problems and Krishnan sets on a journey to find Johnny. Johnny who is paralysed after Ganga stabbing him says that he is not aware of Ganga's whereabouts. Krishnan beats down all of Johnny's gang members but the fight ends with Krishnan getting stabbed by Johnny's brother.
Later, Krishnan is left heart broken when he hears that Ganga's dead body has been found. He later seeks the help of Ashaan who is now a big business entrepreneur to find the real killer only to discover that he is the one who murdered Ganga. Ashaan reveals that he killed Ganga due to his constant disturbance and demands for money. Ashaan is killed by Krishnan kicking him out the window of his high story apartment. In the aftermath, Krishnan says that it is people like Ashaan who corrupt the city spilling blood for more lands and profit and that he acted for the sake of his hometown, Kammatti Padam.[10]",action
28584,Kasaba,"Rajan Zachariah is a police inspector posted at Palakkad district police station. Zachariah is a person who doesn't give a tinker's damn about what people think . Zachariah is very close to IG Chandrasekhar and his son Arjun. Arjun and his fiancée die mysteriously in Kaliyoor - a place located on the Kerala-Karnataka border. As per the police reports the deaths were due to Maoist attacks but IG Chandrasekhar and Zachariah refuse to believe it. Zachariah being the godfather of Arjun asks Chandrasekhar to post him at Kaliyoor to find out the truth. Zachariah arrives at Kaliyoor and tries to solve the mystery behind deaths of Arjun and his fiancée and how it is connected to the death of six policemen and Circle Inspector Raghavan.
Zachariah understands that Parameshwaran Nambiar is the main figure in the village. Zachariah finds out that Kamala- who is in charge of the brothel along with Nambiar had killed CI Raghavan. Arjun and his fiancée witness the murder and flees away. While escaping from Nambiar's goons Arjun and his fiancée get into a police van asking help by introducing himself as I.G.'s son. Nambiar instructs his goons to attack the police van thereby killing Arjun, his fiancée and the six policemen.
Nambiar who is contesting district level elections for the first time, finds Thankachan, caretaker of Kamala's brothel as a possible liability and kills him through his goons under the guise of a Maoist attack. Kamala is Thankachan's daughter which is revealed by a letter written by Thankachan to Kamala before his death. Vengeful Kamala kills Nambiar to avenge the death of her father with the help of Zachariah. Kamala later calls Zachariah to thank her for helping her and she intends to finish him off to wipe the slate clean. Zachariah tactfully arrests her for killing CI Raghavan and Nambiar by acting friendly. Zachariah later rescues the sex workers from the brothel.",action
28591,Inspector Dawood Ibrahim,"The story is about Dawood Ibrahim (Jayasurya) a man from a wealthy family, who chooses to become an honest police officer to give back to his community. He is transferred to a poor town Kollanahalli, at the Kerala-Karnataka border as the inspector of the local police station. He finds the village to be remote and without any major crimes. Soon, he meets Appendix Pappy who swallows every gold or valuables he steals and Vasu (Joju George), Karthavu (Gokulan) and Kaimal (Sudhy Kopa), who are local thieves. Dawood hatches a plan to get a transfer to another police station by telling the trio to steal money from the local bank and rendezvous with him at a secluded place. Meanwhile, an armed robbery occurs at a bank in Mangalore led by Mr. X (Saiju Kurup) who manage to steal money, gold, and other priceless objects, which includes a priceless ruby belonging to the underworld don Akbar Ali (Yog Japee). They plan to escape to Kollanahalli. Vasu's gang manage to steal the money ordered by Dawood, but betray him and take all the money for themselves, thinking that Dawood is trying to look good in the land. But Vasu and his gang accidentally crash into Mr. X's gang. As they try to help the latter, they discover the loot in Mr. X's van, they take the loot and the men. Dawood, with help of Appendix Pappy manages to track and nab all 6 members and discovers about Akbar Ali's involvement. After settling the issue of Vasu's robbery through a compromise, Dawood instigates Akbar to come for him. Akbar then kidnaps Dawood's father, his comrades at the police station and Mr. X's gang. Akbar asks for his ruby to be delivered in return of sparing their lives. Dawood and Vasu's gang deliver the box but its found to be empty. Vasu and his gang help Dawood out and finally Dawood kills Akbar. Dawood confesses that the ruby is lost and it whereabouts is unknown. It's revealed that the ruby was swallowed by Appendix Pappy. On being asked whether he knows where his next posting is, Dawood imagines to be posted in Pakistan facing Dawood Ibrahim, the underworld don.",action
28599,Pulimurugan,"Murugan (Mohanlal) lives in Puliyoor, a small forest village that is vulnerable to man-eating tigers— called Varayan Puli (striped leopard) by the villagers—and frequent human–wildlife conflicts. When he was young, Murugan's mother died after his brother Manikuttan was born. Soon after, his father was kiled by tiger; in vengeance, Murugan traps and kills the tiger with the help of his uncle Balaraman.
Years later, Murugan is a lorry driver, has married Myna (Kamalini Mukherjee), and has a daughter, Chakki. He hunts and kills rogue tigers whenever they invade the village. Acknowledging his skills in hunting Varayan Puli, the villagers call him Pulimurugan (Leopard-Murugan). Murugan is grateful to the villagers who cared for him after his parents' deaths, and is obsessively protective of Manikuttan, who is about to finish his MBA graduation in Mangalore.
One day, Kadutha, the village chief, meets a hooded stranger who asks the whereabouts of Murugan for a hunting assignment. Murugan has been away from Puliyoor for days and many people have been killed by tigers. According to Kadutha, Manikuttan's friends Benny and Shiva have arriving at Puliyoor, sent by Manikuttan to see Balaraman. Shiva's father Daddy Girija owns a pharmaceutical company that is developing a drug to treat cancer and they need ganja (marijuana) from the forest. If the medical research succeeds, Manikuttan will be offered a job in the company, so Balaraman helps them. They make a contract with Ramaiya, an illegal ganja dealer in the forest; on their return to the village they encounter a tiger but are saved by Murugan, who kills it.
Meanwhile, Manikuttan returns home after his final examinations. The forest officials have found the dead tiger's carcass at Thookupara; its killing is a violation of the Indian Wildlife Protection Act, a non-bailable offence. Forest ranger R. K. is assigned to incvestigate; R.K. has a four-year-old grudge against Murugan. R.K. had once tried to molest Myna, only to be threatened by Murugan. Taking advantage on the present scenario, R.K. prepares to file a self-witness F. I. R. against Murugan, who is forced to hide. Meanwhile, ACP Iyep Zachariah arrives at Puliyoor, apparently for Murugan.
The ganja is loaded into Murugan's lorry for transporting to Mangalore. Shiva and Benny hear that a confidant of Ramaiya is in police custody; seeing a possibility of leaking the information, they are forced to transport it overnight. Shiva offer Murugan sanctuary in Kasaragod under Daddy's protection and deceives him that the police are in pursuit to arrest him for the tiger killing. A team lead by Zachariya arrives at Murugan's home. Murugan with his family escape to Mangalore in the transport and manage to escape the police. He delivers the ganja and Manikuttan gets the job he was offered.
Murugan impresses Daddy and earns his trust by helping in his business activities. Meanwhile, more people are killed by tigers at Puliyoor. In an encounter with Zachariya, Murugan learns that Daddy is illegally producing hash oil and exporting it under cover of the pharmacy where Manikuttan is working. Manikuttan co-operates with police to capture Daddy. Shiva catches Manikuttan extracting evidence of their activities and tortures him. Murugan rescues Manikuttan; in the ensuing fight, Shiva is accidentally killed by Murugan. Police ambush Daddy but he escapes.
Murugan returns home; the hooded stranger is revealed to be Daddy, who is seeking revenge for his son's death. He assembles a group of henchmen and assassins, and ambushes Balaraman and villager Poongayi Sasi. Daddy and his gang take Balaraman and send Sasi back with severe injuries. Murugan decides to kill Daddy and a battle with the assassins ensues. Murugan kills them all and saves Balaraman. Daddy is killed by the tiger and Murugan kills it.",action
28746,Madhyamvarg: The Middle Class,The story revolves around a Police Inspector (Siddharth Jadhav) and a journalist (Ravi Kishan) and his family. It tells the fight of middle-class people against injustice and bad things.,action
28765,Vaajlaach Paahije - Game Ki Shinema,"The film revolves around a struggling director, Yash, (Rajesh Bhosale_ and a struggling actor, Raj, Chinmay Udgirkar who try to cross all the hurdles to make a film and make it a big success for themselves. The two goons start their search for a Producer for their film. During the strive to make a film they come across a filthy Producer named Bhau Damdar, Bhalchandra Kadam who agrees to finance only on the condition of getting a beautiful heroine for the film.
Yash describes an unseen girl in such a way that Bhau is enthused and agrees to produce their film. He immediately springs them with advance and asks them to immediately get the heroine to him.
Yash and Raj’s hunt for a producer ends here, but the next hunt for the imaginary actress starts here. And their hunt ends at the Kolhapur Film City, where Raj accidentally meets his fake love, Supriya (Girija Joshi). Raj instantly informs Yash about the success of finding the girl. But Yash who stayed back with Bhau to discuss the script is upset as Bhau has finalized a horrendous script called Nal Damayanti- The Intimate Love Story!
Next day, everyone is excited to meet the heroine, particularly Bhau who has been day dreaming of his Damayanti. The plot takes a turn when Raj gets Supriya to Bhau’s place...
Bhau with his sinister intentions and desires signs Supriya instantly and hands her a bag full of cash as her signing and another bag of cash to Yash to start the film but the film takes a turn by how they intend to make a genuine film with the allocated funds by deceiving Bhau, is the ultimate crux of the story.
Hereafter begins a hilarious plot of rescuing Supriya from Bhau’s clutches and shooting a film of his choice using Bhau's money. Will they succeed in their mission? Raj and Supriya really fall in love? What efforts they take to save Supriya from Bhau and how successfully they complete their film - Producer Jomaat Director Comaat!",romantic comedy
28823, Mitti,"Mitti is a film about Punjab's youth today and their political disputes. It’s a story about four youth who are best of friends and how their life changes after an incident takes place.
Jeet Brar who is a farmer and a local kisaan leader represents the motivated and charged group of people, But on the other hand there is the Young blood of Punjab who is unaware about the danger their state is facing and these young people do not have any mission in their life, most of them want to become a singer or want to go to foreign, and some are behind to find the way how to make fast money and some of them are slaves to the corrupt politicians of the state, such type of young group of people represent the four central characters of the film namely Rabbi Sidhu, Gaazi Dhillon, Lalli Brar and Tunda. All these four youngsters work for the corrupt politician Sardar Harmail Singh. They are prone to alcohol and are walking on the way of crime. They are not all concerned about their future and about themselves, among them Laali Brar is the brother of Jeet Brar but Laali is not at all ready to listen to his brother. Beside This there is a character of a girl called Neeru daughter of Sharma NRI who has also studied with these guys in University, and Gaazi loves Neeru But Neeru Loves Rabbi and this Love Triangle of these three creates problem within the friendship of Rabbi and Gaazi, and among all the father of Neeru does not agree her daughter to talk to these criminals, from here a different angle comes to the life of these characters, and the fourth character Tunda is from very poor family but his friends never let him realize that he is from poor family, Tunda's father always scolded him that he will get nothing being with these rich people, he will have to work one day but he never listened to his father.
Among all this scenario there is a character of journalist called Sarabjit who just wants to show the truth of the people of state and wants to expose the corrupt leader Sardar Harmail Singh, he also manages to make the MMS of Sardar, but with the help of these four guys Sardar manages to take back the cd & DV from journalist Sarabjit while doing so all the four friends kill journalist accidentally.
The film revolves around the current scenario of Punjab and its problems.",action
28829,Jihne Mera Dil Luteya,"Life is carefree and filled with series of mischievous events for dashing and happy-go-lucky Yuvraj and the handsome rocking rebel Gurnoor at Punjabi University, Patiala. Until they are bedazzled by the charming and sexy Noor, whose dad is very wealthy, and has recently returned from abroad. Both Yuvraj and Gurnoor's dads tell the boys to make her fall in love with them. After a while Noor's dad goes bankrupt. Both Yuvraj and Gurnoor's dads tell them not to go after her and focus on their education. But both have fallen for Noor who has swept them off their feet the moment she landed in their lives. The comedy unfolds.",romantic comedy
28835,Jatt & Juliet,"Fateh Singh (Diljit Dosanjh), an Indian villager is crazy about marrying a Canadian girl to get the citizenship of Canada while on the other side Pooja (Neeru Bajwa) a classy modern girl wants to go to Canada to study fashion designing. They both first meet at the passport office where Fateh asks Pooja to fill his form because his hand was injured which he was pretending because of his lack of English. They both again meet at the airport Pooja and Fateh always have fight due to Fateh's lies. Pooja looks for a nice accommodation where she finds a nice house and while getting money out of the ATM, she gets robbed by two thugs. Unfortunately, Pooja has to look for cheaper place where she meets Fateh again and has to share that apartment with him. A day arrives when Jenny a Canadian Caucasian girl, arrives to the house where Pooja and Fateh are living as she is the step-daughter of the house owner. Pooja asks Fateh to propose Jenny and they both start making plans how to get Jenny for Fateh, but when fateh comes to know that Jenny is going to Africa for social service, he ditches her and poor Jenny is left heartbroken. The owner of the house throws both of them out and they work at two different Apna Chulha restaurants that are run by wife and husband, who are not together now. Fateh and Pooja soon come to know that the Apna Chulha is going to be re-possessed by the bank because of six unpaid property payments for the loan. Fateh and Pooja work out the process of re-joining the husband and wife together so that the loan could be paid off. Slowly, Fateh and Pooja start falling for each other but both of them don't want to admit it. Fateh realises that he loves Pooja when Pooja's fiancé, Yuvraj comes to take Pooja with him to India for their marriage. Finally Fateh leaves for India with a hope to bring Pooja back to his life but after watching Pooja has been married he is left heart broken. After a while, he meets Yuvraj who tells him that Pooja is still single and Fateh runs to propose Pooja and they live happily ever after.",romantic comedy
28848,Heer and Hero,"Heer and Hero is the story of three lovers with a girl. The girl is very career-oriented and tells these men that if one of them helps her to go to a foreign country for her dream project, she will choose him as her partner. The story goes on with the journey to reach the destination with these men.",romantic comedy
28849,Love Yoou Soniye,"Lovleen (Sidhu) is an only child in the Sidhu family whose parents love her to the core. During her first day of college she meets a boy named Karanvir Singh Gill (Bohra) who she hits with her car while he is riding his bike. Karanvir seeks revenge for the accident and decides to retaliate.
When Lovleen arrives at her classroom the next day, Karanvir poses as a professor and humiliates her. Karanvir invites his friends and Lovleen's best friend, Dolly (Abrol), to a pub where he asks her to dance. While dancing, Karanvir accidentally touches Lovleen, which angers her and results in her attempt to slap him. The next day, she asks her friends to fight Karanvir but is not successful.
She takes Karanvir at unknown place where she frames him of raping her. He slaps her and reveals that he has romantic feelings for Lovleen. She reacts by saying that she is sorry for what she did and tries to apologize but Karanvir is not receptive. Later, Lovleen angrily shouts at Karanvir for ignoring her and tells him that she would never talk to him. Finally, he apologises to her, and they become best friends.
Karanvir expresses his emotions to his elder brother, Mahendra Singh Gill (Ram). As the time passes on, Karanvir confesses his love towards her and she reciprocate him as well. Eventually, Lovleen's father Kewal Sidhu (Shivendra Mahal) comes to know about their love, but agrees to meet his family. In a showroom, Mahendra wants to give a car to Karanvir as a gift but chooses a car which has already been booked. Mahendra argues with the manager for the car and tries to slap him, but he is held back by the owner. He also fights with the owner and goes out of the showroom. The Gill brothers then head to Sidhu's house and learn that the owner was the notorious figure Kewal Sidhu. Kewal insults the Gill brothers which makes Karanvir furious and he vows to marry Lovleen at any cost. Meanwhile, Kewal arranges her marriage to a NRI Harmeet from Canada (Paintal). Heartbroken, Karanvir tries to meet her but is held by security guards as he was not allowed to enter. Eventually, Lovleen, heartbroken and sad, confesses her feelings towards Karanvir to her aunt. Her dad listens to this and fills with rage, and he now wants Lovleen to marry the very next day. Lovleen pleads to Karanvir for a solution, but Karanvir has no option left but to leave Lovleen forever. Lovleen runs to find Karanvir and tell him to elope with her. Karanvir disagrees, but Lovleen threatens him that if he does not agree then she will commit suicide by jumping in a lake. She jumps but Karanvir dives to save her. Karanvir saves Lovleen and brings her back to the mansion. Upon their return, Karanvir is beaten by her uncle and brother. Kewal points the gun to shoot him, but Mahendra steps forward and saves him. Heartbroken, Gill brothers leaves the mansion. Loveleen pleads to her dad to leave her. Kewal, after a change of heart, finally agrees and Karanvir and Lovleen are united.",romantic comedy
28852,Disco Singh,"The story follows a singer named Lattu (Diljit Dosanjh) who is in love with Sweety(Surveen Chawla), a model. When don Bhupinder Singh(Manoj Pahwa) hires Lattu to perform at a wedding which Sweety also attends, a picture of the trio is captured by a spy who was hired by Bhupinder's wife Pammi(Upasna Singh) who suspects he is having an affair. When the news of Bhupinder cheating on his wife with Sweety is published in the newspaper, Bhupinder tells Pammi that in fact Sweety is Lattu's girlfriend as he was also captured in the photo. Bhupinder's henchmen kidnap Lattu and Bhupinder tells him to pretend to be Sweety's boyfriend for the time being, in order to make his wife's suspicion go away. Whilst pretending, Sweety and Lattu enter a real relationship which soon enrages Bhupinder who decides to take matters into his own hands, leading to a hilarious climax!",romantic comedy
28855,Mundeyan Ton Bachke Rahin,"The film is romance comedy about two best friends, Roshan Prince & Jassi Gill who got their hearts broken at the age of 13 in school and then vow to never fall in love again but instead make girls fall in love with them and break their hearts, however now 10 years later they both end up meeting the same girl Simran Kaur Mundi and compete to see who can make her fall in love with them, whoever gets her wins their game but instead both of them fall madly in love with her and then everything changes.",romantic comedy
28866,Myself Pendu,"This is the story of two guys (Preet & Harpal) played by Preet Harpal & Ather Habib.[5] They belong to a middle-class family & have a very care free attitude. They are never serious towards life & future. They keep on making schemes which can make them live a luxurious life. Their father always try to teach them the facts of life so as to make them efficient & independent for at least those things which are necessary for daily life. On the other hand, their mother always supports them for whatever rubbish they do. First time Jaswinder Singh Bhalla is in double role.",romantic comedy
28868,Mukhtiar Chadha,"Mukhtiar Chadha (Diljit Dosanjh) is a Delhi-based jack of trades, without a stable source of income. He lives with his widowed mother (Kiran Juneja), and does a variety of professions including being a property dealer, and sometimes being a con-artist. He is also an avid investor in stocks. Mukhtiar also falls in love with his neighbor (Oshin Brar), though the girl’s father does not approve of him.
Trouble arises for Mukhtiar, when he brokers a land deal, but the buyers (Yashpal Sharma and Khayali Ram) illegally grab his client’s land by only making a part payment to his client. Mukhtiar fights those goons and manages to defeat them.",romantic comedy
28872,Canada Di Flight,"Three close childhood friends, Jigar, Harry and Laddi, living in a village in Punjab decide to immigrate to Canada for a better life and in search of their ""dollar dreams."" Jigar is a spoiled child of rich parents; Harry is a show-off and bragger; and Laddi aka Phattu is nebbish and clumsy. As they're hanging out in the village, they look upwards in the sky and point to a distant plane saying, ""Look... The flight to Canada!"" However, their parents are not supportive of their pursuit to settle abroad. The three come across a travel agent, Chawla, who ensures them each a visa and flight to Canada for Rs 15 million. They are aware that they won't get this kind of financial support from their parents.
They encounter Minto and Shurli, two men originally from their village and whom the three friends have known since childhood, who are now apparently settled in Canada. Minto alleges that he has worked hard in Canada to become a successful businessman today and invites the entire village for a party later that night. The three friends now get fully charged up for going to Canada. They somehow manage to accumulate the money and give it to Chawla. However, Chawla informs that they need to take a layover in Bangkok for three days and then catch the onward flight to Canada. The three bid farewell to their families and board the plane.
Upon their arrival in Bangkok, they check into a hotel arranged by Chawla. They learn that the hotel is owned by a rich Punjabi businessman, Kabir Gill. They notice two girls by the swimming pool of the hotel, and they mistake them for Kabir's sisters. The three get a little anxious as it has been two days and they haven't heard from Chawla. Chawla falsely assures them they will get the tickets the next day; and then he breaks his SIM card and shuts his shop for good. On completion of their three days of their stay, the hotel throws them out as Chawla has not made the payment. As the three friends are now getting frustrated on the streets of Bangkok, a Punjabi garage owner offers them assistance with employment, food and housing. The three now realize that they've become victims of a scam by Chawla.
One day, Jigar and Harry capitalize on their visit to Kabir's house for delivering his car from their garage. They intend on getting into a relationship with Kabir's ""sisters"" so that they can get a share of his enormous property and business. They introduce themselves as rich diamond merchants and begin relationships, Jigar with Roop and Harry with Gurnoor. Laddi meets a Punjabi girl named Sona at a club and the two hook up.
When the three friends are going around on the streets of Bangkok, they spot Minto and Shurli, the two guys from their village who claimed to be living in Canada. The three figure out that Minto is actually a pimp and Shurli is his associate. They threaten the two that they will disclose their reality, start blackmailing Minto, and quit their garage job. Getting despondent with their demands, Minto and Shurli decide to get the three killed and hire a contract killer, Babbu Don. Shurli informs Laddi about the proposed assassination and demands 7,000 Bath for giving that information. The trio approaches the garage owner for help.
In the meantime, Jigar and Harry propose to their girlfriends and they say yes. Laddi tells the entire series of events to Sona, how the three of them ended up in Bangkok. Jigar and Harry join them and Laddi informs his friends that Sona is, in fact, the garage owner's sister. Roop and Gurnoor follow. The garage owner arrives and Roop and Gurnoor comes to know that Jigar and Harry work at the garage and are not diamond merchants. Kabir's wife also scolds Roop and Gurnoor that they should be home mopping the floor. Jigar and Harry realize that the girls are not Kabir's sisters but work in houses as maids. The three friends call their mothers and confides that they're stuck in Bangkok and the entire money they spent to immigrate to Canada has been mislaid. The mothers advise their sons to come home to Punjab. Jigar and Harry get back with Roop and Gurnoor.
The three men, their girlfriends and garage owner hatch a plan to get rid of the contract killer by kidnapping Kabir's wife. Confusion prevails in the entire kidnapping. Babu Don, Kabir, Minto and Shurli are overpowered as a result and the garage owner suggests that those people should be sent to ""no man's land"" from where they won't be able to come back.
The film ends in Punjab where the trio are now married to the girls. As their wives get them lunch in the fields, their sons look upwards in the sky and point to a distant plane saying, ""Look... The flight to Canada!"" but they're chided by their fathers for doing that.",romantic comedy
28873,Saka - Nankana Sahib De Shaheed,The film is about a massacre (Saka) that happened during Sikh protests of 1920-21 in peaceful efforts to liberate Gurdwara Janam Asthan at Nankana Sahib.,action
28876,Killer Punjabi,"The film revolves around the life of a contract killer Rav, who never fails to kill his targets and faces a dilemma when he is instructed to kill the woman he loves.[8]",action
